kanji,story
一,"One down, 2041 to go. ;).","This one is too difficult to remember. If the other Kanji are this difficult, I'm giving up.","One Line to Rule Them All, One Way to Write it; One Stroke From Left to Right, and With a Pen Lift, Bind it."
晶,A diamond sparkles as brightly as three suns.,Nothing sparkles like 3 suns!,Sparkle is a 森 (#209) of suns!
品,Three boxes of goods are devoured by the hungry mouths of waiting consumers.,Three hungry mouths waiting for the goods to come.,Boxes of goods stacked on top of the other.
呂,Spine connects head and body.,The spine goes from one opening mouth/opening (mouth/face) to another mouth/opening (genitals). Just think of these openings being enlarged to represent the head and the body. The bottom is bigger because the body is bigger than the face.,The spine goes from one opening mouth/opening (mouth/face) to another mouth/opening (in your ass).
昌,If you work from Sun UP to Sun DOWN you will be prosperous.,"I kept getting this mixed up with meanings like 'fortune', so here is a fool proof story! Remember the Vulcan salute from 'Star Trek' (a fiction of the sci-fi genre in which heavenly bodies such as SUNS play a huge role) used with the phrase 'live long and PROSPER'? If that's not enough of a visual reminder, the Vulcan salute shows the fingers parted in to 2 sets of 2, and visually kind of looks like this kanji if you think about it.","When you are prosperous, your gold shines as brightly as two suns."
早,"The sun up is early, well before ten.","EARLY, is when you have to start your day before 10..",An early sun-flower looks like a miniature sun perched on a needlelike stems.
旭,9am carries with it the rising sun.,Nine planets revolve around our rising sun.,The sun rises before 9am.
世,3 tens = generation.,"They SAY a generation is ten+ten+ten years, with the big first ten providing a grounding, and the next ten providing a little more grounding for the final ten. But I wish the next generation didn't always SAY ""yo!"". (ON reading is SEI, KUN reading is yo).",That swing has been in that tree for generations.
胃,The rice field is harvested once a month to get food for our stomach.,The stomach is the part of the body (月）that tells my brain (田) when to eat rice.,A field of rice could fill my stomach for over a month.
旦,A nightbreak happens when the sun rises over the horizon (floor).,The sun rising over the horizon is giving the night a break. -nightbreak.,"HINT: You can substitute sunrise in your stories if you don't like the rare (and ambiguous) ""nightbreak"". Note that 暁 (#1285) is already taken. Don't confuse with 旭 (#27), which is the sun itself, rather than the time of the day."
胆,The moon has a lot of gall sticking around after sunrise.,"For a month（月）, I was up until nightbreak（旦） because of my gall bladder（胆）.",All the month long I have to start working at nightbreak. This really activates my gall bladder (=I get angry).
亘,The sun spans from horizon to horizon in a day.,The span of the day is the time between the sun goes up and comes down.,The sunlight spans from the floor to the ceiling.
凹,"The letter ""U"" is concavely written.",Concave has a concave shape.,"Stroke order: I took a step down into the cave. A park ranger threw down a line to me from the opposite top ridge, then waited. My friend went down to the lowest passage to look for me, then the ranger threw another line down to her."
凸,"When I get vexed, I give people the middle finger.",Convex has a convex shape.,Rude Tetris piece.
旧,Age 18 = olden times.,The old man with a walking stick kept talking of olden times all day long.,"In olden times, gentlemen used walking sticks every day."
自,"To use an eyedropper by oneself, aim from above to put a drop into the eye.","I know this, but I am an idiot and forgot.... The way I remember this is to think of the way in which Japanese people point to themselves if they are unsure of who is being spoken to. In the west, we usually say, ""me?"" and point to ourselves (pointing to the chest), but in Japan, people say, ""ore/boku/atashi?"" and point directly at their nose, the drop between their eyes. True story.",Eyedrops are applied by ONESELF.
白,A white ray is a drop of sun.,Even a small drop (') of the sun (日) would make you see nothing but white.,It's a nice DAY for a WHITE wedding.
百,100 turned sideways. sort of the same as what ashoksaraf said.,That dirty ceiling was painted WHITE a hundred times!,"The ""white year"" (99) plus one more. 100!"
中,Pocky goes in the mouth.,"""SSsshhh!! we are IN the library"", she said, expressed with a finger over her mouth.",I use chopsticks to put food in my mouth.
千,It takes many drops of ten to get to a thousand.,One T = one thousand.,1000 = 10^3 (3 strokes).
舌,A thousand mouths speak the same TONGUE.,"Thousand mouths, a thousand tongues.","When you drop because you are 古 (#16), you stick your tongue out."
升,It is a thousand or ten? I need my measuring box.,"I can fit a thousand needles into my measuring box, but only if I bend the thousand.",A measuring box is a square wooden box that was used to measure one thousand grains of rice (needles) in feudal Japan. It was supposed to be enough to feed a working man for one day.
昇,"This kanji does not mean ""get up"" or ""awake."" It means rising, like the rising of a salary, or a promotion. STORY: You know that your salary has RISEN UP when your MEASURING BOX has enough dollar bills in it to reach the SUN.",In old Japan the villagers used to put their measuring box on an east facing window ledge so that the sun would rise up above it and hence would be the first thing they saw in the morning. This was to remind them to use the box to measure out their kome for asagohan and ensure their store of rice would last the whole week.,If the sun sat on the measuring box made of a thousand needles he would rise up very quickly.
丸,Nine plus a drop rounds it off to ten!,"Watch out for 太 (#126). Here Heisig could have added a ""t"" and we would have had a much better keyword : rotund. Rotund is more specific than ""round"" which begs for confusion with 円 (#1952). A dictionary search on ""fat"" or ""round"" doesn't yield this kanji, but ""rotund"" does! Primitive suggestion: the Laughing Buddha is often depicted as a rotund, smiling bald man in robes with a largely exposed pot belly stomach (symbolizing plenitude).",Cut the tail off of a 9 and it will be round.
寸,The decimal system uses drops of ten as a measurement.,Use two lines (X axis and Y axis) to measure the dot (on the graph).,"Glue two sticks together to make the best measurement. (I always remember the primitive, but never the original keyword.)"
肘,The elbow is the flesh that glues together the upper and lower arm.,A body part that's used as a measurement in former days: the elbow.,Sometimes I get carried away and do elbow curls until the point where my forearm snaps off! When that happens I simply pull out the glue and re-attach the elbow to my flesh.
専,"After you have chosen your 10 fields of study, measure how good you are at each to find out your specialty.",10 brains glued together allows you to specialize in any specialty that you want. Imagine each brain having its own specialty.,"She's so good at her speciality, it's like ten brains glued together."
博,Ten specialties grants you the title of Dr. with a dot.,"Watch for 医 (#1829), the sooner the better! In fact this kanji refers to someone well ""learned"", with extensive knowledge. This could apply to any kind of field. The kanji 医 (""doctor"") is directly related to medicine. I would suggest to take away completely the idea of medicine here, and use a popular character whose name includes the keyword such as ""Dr. Who"", ""Dr. Jekyll"", even ""Dr. Dobb's"" if you're into programming.",Note: Use Ph.D. rather than Dr. to avoid confusion with doctor and to be more in line with common use of this kanji. Ten specialities grants you the title of Ph.D. with a dot.
占,Fortune-telling: using a mouth as a divining rod.,"A great number of people who do fortune-telling are ""almost old"".",To do fortune-telling put a magic wand in your mouth.
上,A magic wand standing on above the floor.,The divining rod is above the floor.,Zombies come above ground at night.
下,Roots are below the ground.,A magic wand hanging below the ceiling.,The divining rod is below the ceiling.
卓,The most eminent magician is he who learned to use his magic wand early in life.,"The world's most eminent sourcerer, Harry Potter, used his magic wand early in life.","Why is the code word for this ""eminent"" when it means ""table"" most of the time? I changed the keyword to ""table"" since that isn't used. It means ""eminent"" in two compounds: 卓越 (hiragana たくえつ) excellence, superiority, preeminence (卓越する be excellent; be outstanding; be preeminent) and 卓識 (hiragana たくしき) clearsightedness; penetration; farsightedness; excellent idea. Everywhere else it's table. Using a magic wand to do all the work, the TABLE was set up way earlier than expected."
朝,There is mist as the moon fades away in the morning.,"Morning has come ""ten"" hours ""early""!!! The ""moon"" is still in the sky!","In the morning, god picks the sun up to the sky with two needles (because it's too hot to touch by hands) to replace the moon."
嘲,"When I wake up, I am always late, so I hurry to work. With a bad case of perpetual morning breath, I am the subject of derision at my office whenever I open my mouth.","If morning breath emanates from your mouth, you are subject to derision!",Your mouth is full of derision in the morning because you're grumpy.
只,Imagine an animal with only a mouth and legs.,Only your mouth runs faster than your legs.,"Tada!... SHE is the only animal with only a mouth on legs and no body! (Kun reading tada, ON reading SHI)."
貝,"Stare at the shellfish, it looks like an eye with legs.",Eye thought I saw a shellfish legging it down the beach!,"Remove the eyes and the legs, and a shellfish tastes great!"
唄,The new generation of pop songs have no depth. They just mouth empty lyrics to get money. Not like the pop songs of my day.,Pop Song = using your MOUTH to get lots of CLAMS.,Out of the mouth comes a pop song and in rolls the money.
貞,A magic wand is needed to make a clam stand upright.,"Careful! This means upright in character, not in position. So although the magically standing shellfish is a cute image, it doesn't convey the right meaning. This character is mainly used to represent a woman's chastity, purity or fidelity, so I just associate chastity with magic oyster.","An UPRIGHT person is above (上) petty disputes, and always holds their head up (上). Since they live on principle, they are as hard or firm as a shell in their beliefs of what is right and what is wrong. They are wise, because they find the pearls of wisdom in the shells of life; 童貞 (virginity); 不貞 (unfaithful); 貞はる (harp too long on a subject); 貞淑 (chastity, virtue); 貞女 (virtuous woman); 不貞寝 (stay in bed out of spite); ."
員,An employee (member of the company) has to clam up his mouth if he wants keep the job!,An employee is basically a shellfish with a mouth.,"An employee is a worker. They lend their mouth (口) to spread a message & sell products; eyes (目) to watch competitors & find customers; and eight (八) hours a day. Alt., an employee is a shell (貝) in the ocean of a company; it looks up to the boss's mouth (口) for orders. 医員(doctor); 一員(member); 駅員(station attendant); 委員(committee member);会社員(company employee); 海員(sailor);楽員(band member); 期間契約社員 (fixed term contractor)."
貼,Fortune teller writes your fortune on a piece of paper and tells you to affix it to a shell and throw into the ocean for it to come true. Picture licking the back of the shell like a stamp and affixing it to the fortune.,"To prevent confusion with 附 (#1400) I changed this to ""paste (v.)"" or ""cut and paste"" because it is the character for pasting in a PC and in graphic design. Careful 糊 (#2692) Story: You pay money and the fortune teller cuts and pastes a good fortune and prints it out for you on his notebook PC. 切り貼り きりはり cut and paste, 貼る はる to stick/to paste, 貼付け はりつけ (computer file) paste.",To make cash (clams) the gypsy affixed a note / posted a bill to a billboard advertising her fortune telling services (contrast with 掲 (#726)).
見,"As a primitive, this is Mike Wazowski from Monsters Inc. (the giant eyeball with legs...) Makes for easy stories later on.",Eyes and legs are all you need to see the world.,"Men's eyes open wide when they see the legs of a beautiful woman. (Alternatively, women's eyes open wide when they see the legs of a handsome guy ;) )."
児,"In the olden times, a newborn babe came out legs first.","In the olden times, a newborn babe came from between the legs. Now we have cesarean section. [modified rakutenka's story].","In olden times newborn babes were strapped to their mothers' backs, leaving both their legs dangling."
元,In the beginning were just two who walked on human legs.,Every journey begins with your two legs.,In the beginning there were two humans with legs (human legs!) Adam and Eve.
頁,A shellfish carrying a page balanced on its head.,One drop of ink from a shellfish can fill a whole page.,"頁岩, 頁, 頁 (#60) ケツ, ページ ... Parts: 一, 丶, 自, ハor 一, 丶, 貝 (cf: 順番, お願い, 頭, 頂く, etc.) ... Tip: This is a never used Kanji, but you are going to see it a few hundred more times in RTK as a primitive. Here's something that I figured out way too late. This is ALWAYS ALWAYS on the right hand side (RHS) of the characters it is a part of. Always.. Learn this primitive cold, and remember, always on the RHS."
頑,A stubborn person in the beginning gets something into their head and can't change their mind.,"Picture a STUBBORN schoolboy, with his arms crossed and his book still open to the BEGINNING PAGE. Despite the teacher telling him to turn the page, he refuses and keeps his book on the BEGINNING PAGE.","He's so stubborn, he won't read past the beginning page!"
凡,A drop of breeze is naught but a mediocre wind.,A drop of rain in the wind... what a mediocre rainy season...,Nothing is more mediocre than a single drop in the wind.
負,"Tied up, the shellfish had to accept defeat!",The shellfish admitted defeat when they placed a hook on top of his head.,A shellfish bound up in a fisherman's net has been defeated.
万,I bound ten thousand dollars together and hid it under the floor.,It looks like a T and an H put together.,"Looks like T and h, sharing the same stem.. Th are the first two letters in thousand."
句,Some Japanese phrases are difficult to wrap your mouth around.,A bound mouth cannot utter a single phrase.,A phrase is a bunch of bound up words coming out of a mouth.
肌,When you expose your flesh to the wind it gets textured: goosebumps!,The moon's lack of wind preserves its texture.,Because the moon has no wind the texture of it's cratered surface never changes or erodes.
旬,"Hint: Here's info from Wikipedia regarding why this kanji exists, which helped me remember it: [Japan also divides the month roughly into three 10-day periods. Each is called a jun (旬). The first is jōjun (上旬); the second, chūjun (中旬); the last, gejun (下旬). These are frequently used to indicate approximate times, for example, ""the temperatures are typical of the jōjun of April""; ""a vote on a bill is expected during the gejun of this month.""].",Hesig should be BOUND for a DAY (or maybe 10 days - a decameron) for calling this Kanji DECAMERON. See 殉 (#872).,"If you bind up ten days, you get a decameron."
勺,A ladle binds drops together.,Forget about the primative 'bound up'. Imagine instead the shape of a ladle and holding it upside down to drink the last DROP (of water).,I'm bound and determined to get that last drop with this ladle!
的,I managed to hit the bull's eye by throwing my white ladle.,"A white, bound up, drop in the center is the bull's eye. (why Heisig had to use ""ladle"" instead of the original two primitives that make up ""ladle"" I'll never understand!)","This kanji is used most commonly for 的（てき）or teki, which is the Japanese equivalent to the English suffix '-ly'. Example: 基本的（きほんてき）or kihonteki: kihon means 'basic' or 'standard' so kihonteki means 'basically'."
首,One has a strong NECK if one can carry HORNS on ONESELF.,"The V shape is your neck on top of your collar bone, or the straight line. Yourself, or the rest of your body is below that!","When I think of a neck, I think of a giraffe. This kanji is just a pictograph of giraffe's face, with those little horns on top and a big nose."
乙,"This is a fish hook, that pulls out the fishguts.","Really this will rarely be seen as fishguts as a Kanji, usually it's 2nd party, or latter, generally always meaning 2nd in some way. It's easy to remember this as ""2nd"" since it looks like a 2. Then just remember it's a fishhook primitive like any other kanji that changes it's meaning as a primitive.","""Knife goes in, guts come out"" (-Bart Simpson's mantra as he guts fish in ""30 Minutes Over Tokyo""). To be more specific: first, cut a 乙-shape in the belly of the fish, second, pull the fishguts out. (Note that the most common meaning of this kanji is not 'fishguts' as Heisig connotates, but 'second')."
乱,The riot police broke up the riot by dragging the rioters away by their tongues with fishooks.,A tongue with a hook can cause a riot.,"If my daughter took her tongue and pierced it with a fishhook, that would cause her mother and I to riot!"
直,"If you get a needle in your eye that is hooked in there, get to a hospital straightaway.","I caught a freaky creature with ten eyes on my fish hook, so I threw it back straightaway.","Meanings: (1) Straightaway; straight (ahead); (2) direct; upright; erect; (3) straightforward; honest; frank. People who are frank, honest and straightforward live by the ethos: cross my heart and hope to die; stick a needle in my eye; if I ever tell a lie (the big L is for LIE)."
具,Keep an eye on your tools while you work at the table.,You need a strong tool to remove the legs from a shellfish.,"One tool nobody should be without - a Mordor-type eye that floats over the workbench. It jerks around, monitoring all who come near, and if anyone so much as removes a stapler from the bench - ZAP."
真,A compass is a tool with a needle on top that points to true north.,Ten tools are all a true craftsman needs.,Ten eyes working together are the best tools to see what's true.
工,I-beams are used to CRAFT skyscrapers.,I consider craft to be one of the harder primitives to use in stories so I've personified it as Bender the crafty robot from Futurama who was designed to bend I-beams.,I crafty.
左,"The LEFT side of my brain posesses the faculties needed for logical crafts, like engineering.","The left side of my brain, is for crafts.","FOR THOSE ABOUT TO PUZZLE OVER THE CHANGING STROKE ORDER, IT'S THIS SIMPLE: Look at the second primitive! Here, the first stroke of by one's side should match the first stroke of craft so that the stroke direction alternates in writing. So 左 is written horizontal, vertical, horizontal... 右 is written vertical, horizontal, vertical... 有 is vertical, horizontal, vertical... etc. (The ONLY exception to this rule comes with elbow [雄 (#804) 雄], which is written horizontal, vertical, vertical(ish)...)"
右,The right side of my brain is for speaking.,Always keep your right to free speech (mouth) by your side!,By my side is a big mouth who thinks they're always right.
有,"Possessed by the Earth's gravity, the moon stays by its side.","To possess = have or own something. In the fight for survival in prehistoric times, the most important thing to possess was meat by your side which could be eaten at any time. Imagine a caveman after a hunt having meat by his side.","The moon stood by my side: I was possessed, a lunatic."
賄,"If you possess enough shellfish, you can bribe anyone.","To bribe someone, money is a necessary possession.",In order to bribe me you will have to give me all the clams you possess.
貢,"""This next song is a TRIBUTE to a little SHELLFISH friend of mine who was tragically crushed by an I-shaped table.""",Tribute is the craft of raising money.,"Tribute is another form of taxation - a crafty way of collecting ""clams"" (money). 貢献 (こうけん) : contribution, services; 西貢 さいごん Saigon."
項,To write a paragraph is the craft of grouping sentences on a page.,"To craft a page well, we need paragraphs.",Page and craft = pacraft -> paracraft; said properly as paragraph.
刀,"This SWORD is so sharp, it can cut the top part of カ off in カタナ.","Samurai carry two swords on their belt: a curved katana and a straighter, shorter wakizashi.","Looks like the handle on a pirate cutlass, a kind of sword."
刃,The part of a sword where a drop of blood can usually be found is the blade.,A drop of blood on the blade of my sword.,How do you know it is a real sword? There is a drop of blood on the blade.
切,The seven samurai used their swords to cut their opponents.,Seven swords cut better than one.,"The seven samurai used their swords to cut vegetables. (Easier to remember if it's a little silly. Imagine the seven samurai flailing about the kitchen dangerously swinging their katanas about, to cut stuff up for dinner.)"
召,To seduce is to make a sword of one's mouth.,"召す 【めす】 (v5s,vt) (1) to call; to send for; (2) to put on; to wear; to take (a bath); to ride in; to buy; to eat; to drink; to catch (a cold); (P) This kanji isn't anything sexual or anything. It means SUMMON/TO SEND/CALL FOR (as well as honorific form of eat/drink). STORY: A king is having a hard time EATING a piece of of meat b/c it can't fit in his MOUTH, so he CALLS FOR/SUMMONS someone to bring him his SWORD. (this keeps the eat/drink meaning of the kanji true as well).",To seduce is to accomplish with the mouth what cannot (or should not) be done with a sword.
昭,Shining is the sun's seduction.,The sun was shining so bright that it seduced Icarus and he flew too close.,The Sun Seduces with its Shining light.
則,"When you have both money and the power of the sword, you can make the rules.",The world is ruled by money and sword.,A shellfish with a sword rules.
副,"The wealthy guy with the sword standing next to the king, that's the vice-roy who does all the dirty work.","Vice-President Cheney shot a man in the face while hunting, as is common knowledge, I imagine. So think of it like a Clue answer and you will remember the symbol order as well. One shot, in the mouth, on a field, with a gun (a modern-day sword).","TIP: 畐 = Wealth. WEALTH in Japan is interpreted as having a whole rice field 田 for just one 一 mouth 口. STORY: Darth Vader, the vice-ruler in the Galaxy (second only to Emperor Palpatine) protects the wealth 畐 of the empire by wielding his lightsaber 刂."
別,I don't know about you but to me this seems like someone's head is about to be separated from his body. You can see he's kneeling and his mouth is wide open gasping for the last breath he will ever take.,A wise old samurai keeps his hostages (with their mouths bound up to keep them quiet) in a separate room from his sabers. Putting them together would be a silly mistake.,The prisoner with the BOUND MOUTH was separated from his SABRE.
丁,"Today, the program ""Sesame Street"" is brought to you by the letter ""T"".",Two streets make a T-intersection.,The street sign is nailed with a spike.
町,"Actually this means town, like one that has lots of streets and is surrounded by all the rice fields.","Getting this one confused with Town is easy, so remember it with this rhyme. ""Pillage the village, for the rice and and the tea."" the street primitive on the right looks like a 't'.","Note: the keywords of 町 (#96) and 村 (#221) swap places in translated editions of RTK I. In fact, according to different dictionaries, 町 is closer to 'town' whereas 村 is closer to 'village'."
可,"A mouth on the street asking for things: ""Can I get some help?! Can I get directions, Can I have some money? Can you please speak English?!""",I can eat nails.,A square box can fit in a corner.
頂,If I put a street sign on my head what do I get ? A place on the head !,"You've probably noticed that even the rudest and crudest Japanese say ""Itadakimasu"" before every meal. Why? Because each person who failed to say it as a child had a nail driven straight into that tender PLACE ON THE HEAD (i.e. the very top of the head). That's a lesson no one will forget!","Driving down the STREET, looking at a PAGE in the map, I hit another car, and started bleeding from a place on the head."
子,A child who is ten will still ask for his ma (top looks a bit like katakana ma).,"A pictograph of a child, with arms outstretched for mother (or perhaps because she is chasing a rat?). Note that this kanji occupies the first space on the Zodiac circle, and is the sign for the rat (such as 2008!).",A ten year old child with a baseball cap.
孔,The child's arms flailed around at the sight of the hooked tool the dentist was going to use to fill his cavity.,"I warned him about cavities, but the child is still hooked on sweets.",When a child falls into a cavity we need a hook to get them out.
了,The experiment was a complete failure! The child was made without any arms!,A child with the arms inside the blanket will be completely wrapped up.,The child in not complete. He's got no arms!
女,"To remember the order of strokes, remember a female ninja is called a ""kunoichi"". That is, く(hiragana) ノ(katakana) 一(kanji, ichi=one).",My mother taught me that a woman should always sit with her legs crossed (but the arms can be stretched out).,When a woman becomes a ninja she is called a kunoichi (くノ一).
好,A woman is fond of her child.,Your wife and child: the thing you are most fond of.,Women are fond of children.
如,A likeness to the Mona Lisa depends on a woman's mouth.,A woman examining her exact likeness in a simple mirror while she puts lipstick on her mouth.,A woman examining her exact likeness in a simple mirror. (Distinguish from 'resemblance' by thinking exact vs. inexact.)
母,The two breasts of a momma who breastfeeds.,"This mama had twins, one mouth for each nipple.",When a woman becomes a mama her breasts grow and fill with drops of milk.
貫,Ariel the Little Mermaid's clamshell bra was held to her breasts by piercings.,The sad fate of Mama shellfish was to be captured and pierced to make an earring.,mama pierces her ears in order to wear pearl earrings (which come from shellfish).
兄,My elder brother was basically a mouth on legs when he was a teenager.,The pac man's (只) elder brother has to have longer legs than his junior.,"Older teenage brothers have big mouths and long, awkward legs."
呪,"Caution: this means a spell, not to swear. I put a curse on my elder brother so that he can never open his mouth.","There's an ancient curse in this region whereby the firstborn son, i.e. the elder brother, is always born with an extra mouth. And regardless of the elder brother's own personality, the extra mouth is bad tempered and always cursing.","In Harry Potter, Ron tried to put a curse on his older brother, but it backfired and he ended up with slugs in his mouth."
克,Ten elder brothers can overcome anything.,A teenager addicted to heroine must overcome the needle.,"Having ten older brothers would be hard to overcome. Ten mouths, and ten sets of legs kicking the crap out of you."
小,A little penguin with its wings at its side.,Little little little drops...,"A depressed child, head low and arms hung low, because he's too little to ride the roller coaster."
少,Only a few people can make an ugly face like that.,"Few usually refers to three. To emphasize three, we underline the three drops in little.","A happy grin, after a few drinks."
大,A person stretching their arms and legs to look large and scare a bear away.,How large? This large!,Think of a large St. Bernard dog with his paws all stretched out.
多,Two evenings too many!,"Many moons ago.. or perhaps it was just a couple of evenings, I can't remember.","This reminds me of a childish pseudo-confucion rhyme: ""He who eats many prunes sits on toilet many moons""."
夕,"The evening is young, the moon is not full.","In the evening, the crescent moon hangs in the sky.",When I come back home from work in the evening I say tadaima.
汐,"Eventide is just another word for evening, and it has the word tide in it which we associate with water.",Drops of water shower the beach as the evening tide approaches: eventide.,Eventide is when the drops of water are attracted to the moon. This is the tide which occurs in the evening.
外,A young magician likes to practice outside in the evening with his magic wand (as opposed to the old magician who wakes early to practice with his wand in 卓 (#52)).,"Outside in the dark of evening, only a magic wand can help you.",The evening is magical outside.
名,"In the evening, when it becomes dark, open your mouth to say your name so that people can recognise you.","In the evening, her sweet mouth whispered my name.","Because it's dark in the evening, you need to open your mouth and speak your name to identify yourself. (This is a traditional mnemonic for this kanji)."
石,Indiana Jones jumps up and grabs the lip of cliff just in time to evade the huge STONE rolling out of the mouth of the cave!,"If you pick the right stone, and hit the kanji 右 right on its head really hard, you can chip off the upper stroke from it.",A stone covers the entrance to a cave hidden under a cliff.
肖,It doesn't hold a candle to the real thing. They share a resemblance at most.,"This kanji bears a resemblance to sparks on a candle. (I always remember the primitive, but never the original keyword.)",A candle bears resemblance to a little light from the moon.
硝,That stone has sparks coming out of it! Someone must have poured nitrate acid on it.,"Salpetre is the common name for Nitrate coming from Latin ""sal petrae"" or stone salt. It is also a component of gun powder so including a candle in this kanji can be quite explosive!",That stone resembles nitrate.
砕,To SMASH a STONE you need to hit it NINE or TEN times.,The Stones (the Rolling Stones) are 90 aged but they've done a new SMASH hit!,A stone will smash a car-window nine times out of ten.
砂,"Here's how I remember that stone is on the left. This is because sand starts as stones, and only later they become few.","In good SAND, stones are few, if any.","Over time, rocks are worn down into just a few grains of sand."
妬,"The jealous woman bashed the brains in of the guy who betrayed her, with a stone.",WOMEN are JEALOUS of the STONE on my wife's ring.,That jealous woman is carrying a stone. Oh shi-.
削,Sparks will fly if you attempt to PLANE your sabre.,"Not ""a plane"", but ""to plane"". To carve a sculpture from wooden block, you cut it (with a sword) little by little, until there is resemblance with whatever it was meant to resemble.",The carpenter's plane resembles a saber.
光,A ray of light is not a wave but made of little photons with human legs.,The ray from Honey I Shrunk the Kids made people little - ha! look at them run around on their tiny legs!,Imagine a ray gun shooting someone and their body exploding (sparks) and just their legs left.
太,A large person with a big drop of sweat dripping off of him because he is so plump.,"To keep this distinct from the primitive meaning of ""round"" (""fat man"") I suggest to use a specific image, such as that of a plump Japanese sumo wrestler, and let the drop between the legs be the loincloth (which compared to their large body size, is quite a drop). To illustrate the importance of this, have a look at the kanji for ""tenacious"" (frame 1506) and ""burdensome"" (frame 1986).",PLUMP people are LARGE and SWEAT a lot.
